velikost_m2,leto_izgradnje,tip,cena_€
"222,8",1520,4-sobno,"1.450.000,00"
"242,7",1861,,"2.000.000,00"
"255,27",2026,2-sobno,"1.611.900,00"
"264,47",2026,2-sobno,"1.611.900,00"
"276,7",1456,4-sobno,"1.190.000,00"
"276,7",1456,,"1.290.000,00"
23,1980,garsonjera,"175.000,00"
"83,8",1983,3-sobno,"590.000,00"
"172,9",1932,,"749.000,00"
"26,3",1852,garsonjera,"149.000,00"
"113,8",1936,3-sobno,"779.000,00"
"81,5",1958,3-sobno,"390.319,80"
"28,7",1980,garsonjera,"195.000,00"
115,1930,,"590.000,00"
20,1961,garsonjera,"185.000,00"
"195,6",1651,,"350.000,00"
"374,8",1651,,"1.500.000,00"
35,2007,garsonjera,"290.000,00"
190,1520,4-sobno,"1.450.000,00"
,,,"390.000,00"
"54,6",1998,2-sobno,"390.000,00"
"54,8",1962,3-sobno,"448.000,00"
164,1926,,"980.000,00"
"45,69",2009,garsonjera,"349.000,00"
64,1920,3-sobno,"240.000,00"
"97,7",1910,4-sobno,"340.000,00"
"125,8",1908,3-sobno,"550.000,00"
13,1964,,"78.000,00"
"136,8",1905,,"684.000,00"
"64,3",2027,2-sobno,"405.000,00"
"100,44",2027,2-sobno,"444.000,00"
"117,2",2027,5-sobno,"585.000,00"
75,1898,5-sobno,"288.000,00"
62,1939,2-sobno,"269.900,00"
"91,62",2023,2-sobno,"950.000,00"
"153,8",1650,5-sobno,"700.000,00"
20,2024,garsonjera,"235.000,00"
"117,58",2021,4-sobno,"1.600.000,00"
47,2022,2-sobno,"440.000,00"
"74,49",1981,3-sobno,"499.000,00"
"80,9",1905,5-sobno,"395.000,00"
85,1939,3-sobno,"495.000,00"
240,1897,,"630.000,00"
104,1979,4-sobno,"551.000,00"
"18,02",1935,garsonjera,"179.000,00"
,,,"699.000,00"
"106,7",1931,3-sobno,"699.000,00"
"46,9",1920,2-sobno,"190.000,00"
"54,1",1899,2-sobno,"267.000,00"
"59,3",1935,5-sobno,"359.000,00"
"59,4",1926,5-sobno,"294.000,00"
63,1977,2-sobno,"310.000,00"
"68,6",1961,4-sobno,"375.000,00"
80,2026,3-sobno,"370.000,00"
"83,4",1972,5-sobno,"390.000,00"
"87,3",1985,3-sobno,"349.000,00"
38,2010,5-sobno,"239.000,00"
70,1966,3-sobno,"348.000,00"
"21,5",1962,garsonjera,"220.000,00"
"64,45",1975,2-sobno,"315.000,00"
85,1974,3-sobno,"372.000,00"
"63,8",1955,5-sobno,"269.000,00"
"24,6",1963,garsonjera,"250.000,00"
14,1984,,"65.000,00"
"26,5",2023,garsonjera,"299.000,00"
"28,6",1970,1-sobno,"219.000,00"
"31,6",1929,garsonjera,"197.000,00"
"33,3",1964,1-sobno,"229.000,00"
